"","KorGdpQ04","KorInt03"
"1",2.53101603693544,11.22
"2",2.87283834370911,11.11
"3",2.12578352363213,11.08
"4",1.03097646321419,11.39
"5",3.83568907652023,11.43
"6",3.04141117532897,11.64
"7",3.17051958782848,12.85
"8",-3.64933175794135,16.94
"9",-3.89515980177997,16.79
"10",1.16533705318584,14.9
"11",1.20778780695012,12.1
"12",3.70377695445168,10.7
"13",2.51278216351061,9.38
"14",5.4705966628827,8.87
"15",2.79601558768121,8.62
"16",1.93646516567494,8.67
"17",0.931214257958324,8.57
"18",3.01394777057542,8.45
"19",0.641315136564735,8.48
"20",3.313619676244,8.35
"21",2.57503841795561,7.99
"22",1.56566390922599,7.52
"23",-0.340444201079748,6.94
"24",6.1150366287599,6.75
"25",2.74456650633343,6.73
"26",0.951394818188334,6.67
"27",2.39332046792526,6.64
"28",1.25588587118433,6.46
"29",0.905274196015249,6.31
"30",1.44390590494687,6.07
"31",3.50317176199848,6.11
"32",2.47119642154665,6.15
"33",1.75304722235659,6.02
"34",1.13746501830985,5.84
"35",0.92507251696361,5.61
"36",0.972474261734213,5.58
"37",1.60753347120828,5.53
"38",2.02699992081428,5.54
"39",1.41393010359554,5.73
"40",0.52759543366836,5.81
"41",0.621829930411799,5.9
"42",2.29458308261812,6.13
"43",1.17812558971568,6.11
"44",2.50592035525123,6.34
"45",2.29949273847119,6.42
"46",1.75058965916737,6.56
"47",2.87087200001679,6.89
"48",0.323435356236779,7.02
"49",2.37412711734581,6.96
"50",1.27654077300665,7.29
"51",-2.26796130720892,7.4
"52",0.90346268207071,5.66
"53",2.9098283144652,5.43
"54",3.10575431619622,5.65
"55",0.557627653276249,5.85
"56",3.44725223323987,5.82
"57",2.81217505358722,5.4
"58",1.26881437571136,5.45
"59",1.63000608702113,5.37
"60",0.530650620953566,5.69
"61",0.855266680540723,5.75
"62",1.37543350419556,5.82
"63",1.93076809380539,5.76
"64",0.643844672723048,5.75
"65",0.128250647972372,5.65
"66",0.491614144350194,5.27
"67",1.17042995576906,4.92
"68",1.1552878728514,4.89
"69",1.26303943586397,4.62
"70",1.23185295450696,4.56
"71",0.995155227982103,4.49
"72",1.49267801951787,4.48
"73",0.308953482638863,4.41
"74",0.505955233268196,4.24
"75",1.61525275666659,3.93
"76",2.98828203166437,3.79
"77",0.67656038777173,3.47
"78",1.29738939678283,3.43
"79",0.873952124622512,3.44
"80",2.03289428966738,3.49
"81",1.28223754870422,3.4
"82",-0.0533018948363662,3.24
"83",1.72108731013605,3.36
"84",1.90902511099882,3.48
"85",0.776088894708948,3.44
"86",2.91901157959664,3.45
"87",-0.926614989662511,3.54
"88",1.05913861128482,3.68
"89",0.90819919831695,3.66
"90",1.42675143005579,3.64
"91",-0.231673811955879,3.67
"92",-0.663875550353055,3.7
"93",1.18836759237322,3.59
"94",0.311687592918375,3.3
"95",0.908480455073679,3.2
"96",-1.36956384110807,3.06
"97",-0.982252848967136,2.78
"98",2.98099477493157,2.66
"99",1.2447477485205,2.7
"100",2.12237887309747,2.74
"101",2.10079679357094,2.74
"102",1.33260963180302,2.87
"103",1.57661334820478,3.18
"104",0.579476734382212,3.49
"105",1.56548735304476,3.72
"106",-0.625040297647317,4.48
"107",0.187132422022174,5.49
"108",1.02847935389807,5.32
"109",0.855636326564202,5.1
"110",2.14918298234554,5.13
"111",1.58565987708119,5.21
